Sum of active_region,Year,Quarter,Month,Day,class_type,Year,Quarter,Month,Day,Sum of day,Year,Quarter,Month,Day,event_id,event_type,Sum of hour,instruments,Sum of month,note,Year,Quarter,Month,Day,source_location,Sum of year
13387,2023,Qtr 3,August,7,M1.0,2023,Qtr 3,August,7,7,2023,Qtr 3,August,7,2023-08-07T16:24:00-Flr-001,Solar Flare,16,GOES-P: EXIS 1.0-8.0,8,Double Peaked Flare Likely From Ar 3387 As Seen In Sdo Aia 131 Imagery.,2023,Qtr 3,August,7,N14W87,2023
13386,2023,Qtr 3,August,7,M2.4,2023,Qtr 3,August,7,7,2023,Qtr 3,August,7,2023-08-07T04:29:00-Flr-001,Solar Flare,4,GOES-P: EXIS 1.0-8.0,8,Active Region 3386 Rotated Beyond The West Limb Of The Earth-Facing Disk Early On 2023-08-07.,2023,Qtr 3,August,7,N10W93,2023
13387,2023,Qtr 3,August,8,M1.4,2023,Qtr 3,August,7,7,2023,Qtr 3,August,8,2023-08-07T19:37:00-Flr-001,Solar Flare,19,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,8,N19W75,2023
13387,2023,Qtr 3,August,8,M3.6,2023,Qtr 3,August,8,8,2023,Qtr 3,August,8,2023-08-08T09:20:00-Flr-001,Solar Flare,9,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,8,N18W78,2023
13386,2023,Qtr 3,August,8,X1.5,2023,Qtr 3,August,7,7,2023,Qtr 3,August,8,2023-08-07T20:30:00-Flr-001,Solar Flare,20,GOES-P: EXIS 1.0-8.0,8,Simultaneous Flaring From Ar13387. Main Flaring Ar Is Beyond Limb.,2023,Qtr 3,August,8,N11W90,2023
13398,2023,Qtr 3,August,10,C5.4,2023,Qtr 3,August,10,10,2023,Qtr 3,August,10,2023-08-10T02:26:00-Flr-001,Solar Flare,2,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,10,S22W80,2023
13777,2023,Qtr 3,August,12,M1.0,2023,Qtr 3,August,12,12,2023,Qtr 3,August,12,2023-08-12T08:23:00-Flr-001,Solar Flare,8,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,12,S09W65,2023
13405,2023,Qtr 3,August,15,C8.9,2023,Qtr 3,August,14,14,2023,Qtr 3,August,15,2023-08-14T20:30:00-Flr-001,Solar Flare,20,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,15,N11E88,2023
13397,2023,Qtr 3,August,17,C2.2,2023,Qtr 3,August,17,17,2023,Qtr 3,August,17,2023-08-17T17:16:00-Flr-001,Solar Flare,17,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,17,N16W80,2023
13394,2023,Qtr 3,August,17,C3.6,2023,Qtr 3,August,17,17,2023,Qtr 3,August,17,2023-08-17T02:19:00-Flr-001,Solar Flare,2,GOES-P: EXIS 1.0-8.0,8,"Source Is Believed To Be Ar 3394 Which Rotated Off The Earth-Facing Disk On 2023-08-15. The Exact Source Location Is Uncertain Because It Is Beyond The West Limb, Ar 3394 Is Likely Situated At This Approximate Coordinates. A Type Ii Radio Burst And Cme Were Associated With This Event.",2023,Qtr 3,August,17,S24W110,2023
